time,electricity,coldwater,hotwater
2014-03-15T00:00:00,0.3105,0.054,0.144
2014-03-15T01:00:00,0.3519,0.072,0.000
2014-03-15T02:00:00,0.9108,0.000,0.000
2014-03-15T03:00:00,0.6003,0.000,0.000
2014-03-15T04:00:00,0.2277,0.054,0.000
2014-03-15T05:00:00,0.207,0.000,0.000
2014-03-15T06:00:00,0.2277,0.000,0.000
2014-03-15T07:00:00,0.4761,0.180,0.000
2014-03-15T08:00:00,1.3869,0.018,0.048
2014-03-15T09:00:00,2.6289,0.738,1.824
2014-03-15T10:00:00,3.7053,2.304,6.528
2014-03-15T11:00:00,3.3327,0.810,0.288
2014-03-15T12:00:00,6.7068,0.972,0.048
2014-03-15T13:00:00,3.3327,0.216,0.048
2014-03-15T14:00:00,5.1129,0.342,0.240
2014-03-15T15:00:00,1.3869,0.000,0.000
2014-03-15T16:00:00,2.9187,0.594,0.336
2014-03-15T17:00:00,2.1942,0.522,1.488
2014-03-15T18:00:00,3.0429,0.450,0.720
2014-03-15T19:00:00,2.0286,0.666,1.968
2014-03-15T20:00:00,1.1178,0.396,0.960
2014-03-15T21:00:00,0.9522,0.882,0.048
2014-03-15T22:00:00,0.8694,0.324,0.000
2014-03-15T23:00:00,0.9315,0.612,2.448
2014-03-16T00:00:00,1.1799,0.126,0.192
2014-03-16T01:00:00,0.5382,0.018,0.000
2014-03-16T02:00:00,0.207,0.000,0.000
2014-03-16T03:00:00,0.207,0.000,0.000
2014-03-16T04:00:00,0.207,0.000,0.000
2014-03-16T05:00:00,0.207,0.000,0.000
2014-03-16T06:00:00,0.5796,0.000,0.000
2014-03-16T07:00:00,0.828,0.000,0.000
2014-03-16T08:00:00,0.2691,0.000,0.000
2014-03-16T09:00:00,1.8009,0.864,0.096
2014-03-16T10:00:00,5.2371,1.080,1.200
2014-03-16T11:00:00,4.8024,0.918,3.936
2014-03-16T12:00:00,4.5954,0.540,0.192
2014-03-16T13:00:00,2.277,0.990,2.976
2014-03-16T14:00:00,0.6831,0.054,0.000
2014-03-16T15:00:00,0.9108,0.126,0.000
2014-03-16T16:00:00,1.0143,0.000,0.000
2014-03-16T17:00:00,0.7245,0.000,0.000
2014-03-16T18:00:00,0.2484,0.000,0.000
2014-03-16T19:00:00,0.7038,0.126,0.000
